Verb,Predicate,Jaro-Winkler_Score,Cosine_Sim_Score
document,document,1.0,1.0
document,text,0.0,0.5962359309196472
document,publication,0.4545454545454546,0.533574104309082
document,report,0.5277777777777778,0.5288379192352295
document,manuscript,0.5750000000000001,0.5126957297325134
document,statement,0.5648148148148148,0.5115824937820435
document,page,0.4583333333333333,0.4943249523639679
document,information,0.537878787878788,0.4938245713710785
document,process,0.6011904761904762,0.4929233491420746
document,context,0.6071428571428571,0.49276986718177795
document,request,0.6011904761904762,0.48808911442756653
document,database,0.5,0.4735569655895233
document,invoice,0.6011904761904762,0.4604051411151886
document,paper,0.44166666666666665,0.44754406809806824
document,address,0.5119047619047619,0.44327259063720703
document,content,0.7130952380952381,0.44287800788879395
document,task,0.0,0.442015677690506
document,source,0.6388888888888888,0.43927261233329773
document,object,0.6388888888888888,0.4373886287212372
document,article,0.5119047619047619,0.4349915385246277
document,transaction,0.43813131313131315,0.43294650316238403
document,image,0.5499999999999999,0.4324854910373688
document,user,0.5833333333333334,0.42770907282829285
document,message,0.4226190476190476,0.4221011698246002
document,purpose,0.4900793650793651,0.42205870151519775
document,resource,0.5833333333333334,0.42193856835365295
document,overview,0.5,0.417184978723526
document,printer,0.4900793650793651,0.41406455636024475
document,testimony,0.49074074074074076,0.4094257056713104
document,issue,0.5499999999999999,0.40597063302993774
document,tool,0.4583333333333333,0.40505513548851013
document,item,0.4166666666666667,0.40410393476486206
document,language,0.5,0.4039660692214966
document,entity,0.4305555555555555,0.4039486348628998
document,resolution,0.5750000000000001,0.4028359651565552
document,material,0.4166666666666667,0.4021354615688324
document,instance,0.3333333333333333,0.4020988345146179
document,change,0.5138888888888888,0.4004257917404175
document,permission,0.44722222222222224,0.4003559648990631
document,write,0.44166666666666665,0.39833366870880127
document,component,0.6944444444444443,0.3978589177131653
document,representation,0.5297619047619048,0.3956644833087921
document,website,0.3452380952380952,0.3921596109867096
document,website,0.3452380952380952,0.3921596109867096
document,authority,0.4583333333333333,0.3921188712120056
document,word,0.4166666666666667,0.3902119994163513
document,access,0.5277777777777778,0.39020103216171265
document,software,0.5,0.3894454538822174
document,record,0.3611111111111111,0.3869580328464508
document,order,0.5472222222222222,0.38678500056266785
document,detail,0.4305555555555555,0.38595566153526306
document,knowledge,0.49074074074074076,0.38511601090431213
document,manner,0.3611111111111111,0.38407763838768005
document,input,0.5499999999999999,0.3836030960083008
document,project,0.6071428571428571,0.3833496868610382
document,case,0.5833333333333334,0.3825916349887848
document,public,0.3611111111111111,0.38217082619667053
document,list,0.0,0.38181960582733154
document,individual,0.48333333333333334,0.38057151436805725
document,mail,0.0,0.38025379180908203
document,organization,0.5416666666666666,0.378165602684021
document,responsibility,0.5119047619047619,0.3776762783527374
document,decision,0.5833333333333334,0.3748787045478821
document,government,0.6416666666666667,0.3743896186351776
document,conclusion,0.4666666666666666,0.37265291810035706
document,script,0.5277777777777778,0.37156420946121216
document,petition,0.3333333333333333,0.371088445186615
document,institution,0.43813131313131315,0.36956116557121277
document,use,0.6388888888888888,0.36731743812561035
document,basis,0.0,0.36609283089637756
document,subject,0.6071428571428571,0.3658656179904938
document,view,0.4583333333333333,0.365816205739975
document,asset,0.5499999999999999,0.3602357506752014
document,read,0.4583333333333333,0.36000919342041016
document,objective,0.5648148148148148,0.35918036103248596
document,support,0.4900793650793651,0.3581959903240204
document,status,0.4305555555555555,0.356924831867218
document,version,0.4226190476190476,0.35553279519081116
document,plan,0.4583333333333333,0.35532402992248535
document,result,0.5277777777777778,0.3550361394882202
document,fact,0.4583333333333333,0.3548264801502228
document,official,0.5,0.35460349917411804
document,organisation,0.5416666666666666,0.3542575538158417
document,invitation,0.31666666666666665,0.35409748554229736
document,introduction,0.5833333333333334,0.35405948758125305
document,office,0.625,0.35335370898246765
document,entry,0.0,0.35180917382240295
document,account,0.7130952380952381,0.3517232835292816
document,instruction,0.537878787878788,0.35083794593811035
document,guide,0.5472222222222222,0.35036414861679077
document,conversion,0.4666666666666666,0.3474343717098236
document,type,0.4583333333333333,0.3473014831542969
document,option,0.5277777777777778,0.3451912999153137
document,set,0.0,0.34023746848106384
document,ownership,0.49074074074074076,0.3400841951370239
document,witness,0.3452380952380952,0.33958858251571655
document,reader,0.5277777777777778,0.3393266499042511
document,meeting,0.5119047619047619,0.3369428515434265
document,citation,0.47222222222222215,0.33641740679740906
document,employer,0.47222222222222215,0.33534538745880127
document,research,0.4166666666666667,0.3343934118747711
document,response,0.47222222222222215,0.334018349647522
document,point,0.6583333333333333,0.3336833715438843
document,preface,0.3452380952380952,0.3327721655368805
document,output,0.625,0.3322017788887024
document,diary,0.44166666666666665,0.3318331241607666
document,argument,0.75,0.33036839962005615
document,location,0.5833333333333334,0.33009785413742065
document,location,0.5833333333333334,0.33009785413742065
document,background,0.5583333333333333,0.32962924242019653
document,assistance,0.44722222222222224,0.3268716037273407
document,editor,0.5277777777777778,0.3265261650085449
document,coordinate,0.6722222222222222,0.325893372297287
document,employee,0.47222222222222215,0.32567402720451355
document,part,0.0,0.32542797923088074
document,photo,0.44166666666666665,0.3253089189529419
document,value,0.5499999999999999,0.32468169927597046
document,effort,0.5277777777777778,0.3245905935764313
document,collection,0.5750000000000001,0.3237913250923157
document,court,0.6833333333333332,0.32348135113716125
document,study,0.3833333333333333,0.32278284430503845
document,book,0.4583333333333333,0.3227660357952118
document,environment,0.6265151515151516,0.3207266628742218
document,situation,0.4583333333333333,0.3195110261440277
document,warrant,0.5119047619047619,0.3193420171737671
document,number,0.625,0.31913891434669495
document,system,0.3611111111111111,0.3191072940826416
document,behalf,0.0,0.31887462735176086
document,distribution,0.5277777777777778,0.31694290041923523
document,state,0.44166666666666665,0.3167397379875183
document,jurisdiction,0.5472222222222222,0.3163147568702698
document,property,0.5833333333333334,0.31507232785224915
document,contract,0.47222222222222215,0.31155455112457275
document,release,0.4226190476190476,0.3115478754043579
document,ability,0.4226190476190476,0.31124937534332275
document,product,0.6464285714285715,0.31094884872436523
document,protection,0.6416666666666667,0.30961453914642334
document,respect,0.4900793650793651,0.3091619908809662
document,bill,0.0,0.30914679169654846
document,patient,0.6011904761904762,0.3079623281955719
document,portfolio,0.41203703703703703,0.30785685777664185
document,newspaper,0.41203703703703703,0.30729201436042786
document,review,0.4305555555555555,0.30497637391090393
document,session,0.4226190476190476,0.3049758970737457
document,participant,0.43813131313131315,0.30429568886756897
document,speech,0.3611111111111111,0.30394601821899414
document,portion,0.5119047619047619,0.3036934733390808
document,trial,0.0,0.30324211716651917
document,counsel,0.6464285714285715,0.3030020296573639
document,piece,0.3833333333333333,0.3028283417224884
document,topic,0.5499999999999999,0.3006385862827301
document,impact,0.5138888888888888,0.30059224367141724
document,publisher,0.49074074074074076,0.3005409240722656
document,judgment,0.7777777777777778,0.3000480830669403
document,service,0.5119047619047619,0.29909175634384155
document,outcome,0.7130952380952381,0.2983832359313965
document,person,0.5277777777777778,0.29740557074546814
document,whole,0.5499999999999999,0.29703202843666077
document,provider,0.5,0.2968427538871765
document,intelligence,0.4305555555555555,0.2960605323314667
document,aid,0.4861111111111111,0.2950703203678131
document,dimension,0.6481481481481481,0.2945185601711273
document,position,0.47222222222222215,0.2942574620246887
document,focus,0.6583333333333333,0.2921695411205292
document,field,0.44166666666666665,0.2918604612350464
document,place,0.5499999999999999,0.2918153703212738
document,issuer,0.5277777777777778,0.2917606830596924
document,mission,0.4226190476190476,0.29005420207977295
document,mission,0.4226190476190476,0.29005420207977295
document,exchange,0.47222222222222215,0.2899318039417267
document,right,0.44166666666666665,0.28934744000434875
document,action,0.5138888888888888,0.2886245548725128
document,contribution,0.5472222222222222,0.2884291708469391
document,defendant,0.6481481481481481,0.2870730757713318
document,force,0.6583333333333333,0.2858560085296631
document,course,0.6388888888888888,0.28516480326652527
document,majority,0.5,0.2850784659385681
document,plaintiff,0.49074074074074076,0.28486672043800354
document,time,0.5833333333333334,0.2846754193305969
document,comment,0.8134920634920636,0.28367090225219727
document,acquisition,0.537878787878788,0.283203125
document,employment,0.6416666666666667,0.28317883610725403
document,end,0.4861111111111111,0.281541109085083
document,buyer,0.5499999999999999,0.28123509883880615
document,return,0.5277777777777778,0.28046154975891113
document,risk,0.0,0.27988773584365845
document,attempt,0.4900793650793651,0.2797897458076477
document,author,0.3611111111111111,0.27843016386032104
document,event,0.6583333333333333,0.2784174978733063
document,destination,0.537878787878788,0.2776734530925751
document,help,0.0,0.27733010053634644
document,department,0.5750000000000001,0.2771880030632019
document,consumer,0.6833333333333332,0.27681487798690796
document,origin,0.5277777777777778,0.275600790977478
document,customer,0.6833333333333332,0.2752472758293152
document,parent,0.625,0.27503371238708496
document,practice,0.47222222222222215,0.27499306201934814
document,ink,0.0,0.2749475836753845
document,consequence,0.5598484848484849,0.27492785453796387
document,human,0.6583333333333333,0.274441659450531
document,attorney,0.47222222222222215,0.27277928590774536
document,idea,0.5833333333333334,0.2718692719936371
document,effect,0.5138888888888888,0.27185678482055664
document,principle,0.4583333333333333,0.27119189500808716
document,reason,0.5277777777777778,0.27086347341537476
document,box,0.4861111111111111,0.2696805000305176
document,string,0.4305555555555555,0.2679329514503479
document,ontology,0.4166666666666667,0.2670864462852478
document,signatory,0.49074074074074076,0.26702794432640076
document,construction,0.5472222222222222,0.26685631275177
document,company,0.6071428571428571,0.26672863960266113
document,memory,0.3611111111111111,0.26664260029792786
document,target,0.5277777777777778,0.26635390520095825
document,organizer,0.4583333333333333,0.2656850814819336
document,relationship,0.4444444444444444,0.2655169665813446
document,unit,0.4583333333333333,0.2647755444049835
document,condition,0.5935185185185184,0.2647295296192169
document,parcel,0.5277777777777778,0.2646152079105377
document,size,0.4583333333333333,0.2637682557106018
document,election,0.5,0.2631343603134155
document,activity,0.5,0.26156628131866455
document,purchase,0.47222222222222215,0.26128828525543213
document,beneficiary,0.43813131313131315,0.2610188126564026
document,truth,0.44166666666666665,0.2606649398803711
document,justice,0.4900793650793651,0.26034578680992126
document,contractor,0.5499999999999999,0.2596578001976013
document,interest,0.5,0.25936901569366455
document,feature,0.5119047619047619,0.25924062728881836
document,reproduction,0.7242063492063493,0.25817161798477173
document,bank,0.0,0.25808143615722656
document,color,0.3833333333333333,0.2579997479915619
document,association,0.537878787878788,0.2578630745410919
document,transport,0.49074074074074076,0.2577766478061676
document,agent,0.6583333333333333,0.257455974817276
document,attention,0.5694444444444444,0.25663647055625916
document,independence,0.4305555555555555,0.25609853863716125
document,viewpoint,0.5694444444444444,0.25546056032180786
document,jury,0.4583333333333333,0.2537103295326233
document,convention,0.5750000000000001,0.25203877687454224
document,voter,0.5499999999999999,0.25081098079681396
document,charge,0.5277777777777778,0.25041455030441284
document,quantity,0.5833333333333334,0.2502340078353882
document,classroom,0.41203703703703703,0.25000786781311035
document,period,0.4305555555555555,0.24941089749336243
document,recipient,0.6481481481481481,0.24914702773094177
document,physician,0.49074074074074076,0.24886801838874817
document,society,0.6904761904761904,0.24833275377750397
document,funding,0.4900793650793651,0.24731938540935516
document,marriage,0.4166666666666667,0.24694301187992096
document,sermon,0.5138888888888888,0.24673807621002197
document,currency,0.6666666666666666,0.24477119743824005
document,circumstance,0.6138888888888889,0.2446204274892807
document,emergency,0.5694444444444444,0.24413864314556122
document,country,0.7130952380952381,0.2429904043674469
document,student,0.7130952380952381,0.2421851009130478
document,manager,0.4226190476190476,0.24155035614967346
document,symbol,0.3611111111111111,0.24116960167884827
document,party,0.0,0.24102158844470978
document,church,0.5277777777777778,0.24100381135940552
document,desire,0.5277777777777778,0.24067041277885437
document,promise,0.6011904761904762,0.2403833121061325
document,artwork,0.4226190476190476,0.24024155735969543
document,level,0.44166666666666665,0.23930826783180237
document,lawyer,0.4305555555555555,0.23918545246124268
document,line,0.4583333333333333,0.23874013125896454
document,university,0.5583333333333333,0.2384384125471115
document,alphabet,0.5,0.23819054663181305
document,mean,0.4583333333333333,0.23783768713474274
document,figure,0.5277777777777778,0.23739951848983765
document,freedom,0.3452380952380952,0.23712614178657532
document,opportunity,0.537878787878788,0.23699508607387543
document,legislature,0.4772727272727273,0.23676785826683044
document,story,0.44166666666666665,0.2362055778503418
document,build,0.44166666666666665,0.23587679862976074
document,marker,0.4305555555555555,0.23535756766796112
document,datum,0.6583333333333333,0.23429328203201294
document,discrimination,0.6607142857142857,0.23394954204559326
document,broker,0.5277777777777778,0.23382696509361267
document,investment,0.4666666666666666,0.23372270166873932
document,job,0.4861111111111111,0.23369476199150085
document,child,0.44166666666666665,0.23340757191181183
document,cause,0.6583333333333333,0.23314520716667175
document,cause,0.6583333333333333,0.23314520716667175
document,role,0.5833333333333334,0.2311943769454956
document,perception,0.4666666666666666,0.23052453994750977
document,candidate,0.48148148148148145,0.2300204336643219
document,master,0.4305555555555555,0.2296408861875534
document,class,0.44166666666666665,0.22958216071128845
document,conversation,0.5472222222222222,0.2295253574848175
document,thing,0.44166666666666665,0.2287510633468628
document,major,0.44166666666666665,0.22805233299732208
document,diocese,0.6904761904761904,0.2276466339826584
document,holder,0.5138888888888888,0.22742106020450592
document,care,0.5833333333333334,0.2260102480649948
document,ancestor,0.5833333333333334,0.22576598823070526
document,officer,0.6011904761904762,0.22560304403305054
document,community,0.6944444444444443,0.2248189002275467
document,literacy,0.4166666666666667,0.2245178520679474
document,judge,0.5472222222222222,0.2238326519727707
document,equipment,0.7268518518518517,0.22370940446853638
document,group,0.5499999999999999,0.22333553433418274
document,occupation,0.6416666666666667,0.22300153970718384
document,region,0.5277777777777778,0.22291456162929535
document,belief,0.4305555555555555,0.22290517389774323
document,biography,0.41203703703703703,0.22281861305236816
document,transportation,0.41865079365079366,0.22269150614738464
document,favor,0.44166666666666665,0.220437690615654
document,store,0.5499999999999999,0.2201400250196457
document,occasion,0.5833333333333334,0.2200717031955719
document,debt,0.4583333333333333,0.2190397083759308
document,suspect,0.6071428571428571,0.21829232573509216
document,estate,0.3611111111111111,0.21811729669570923
document,crime,0.6583333333333333,0.21806341409683228
document,shape,0.44166666666666665,0.21695706248283386
document,suit,0.4583333333333333,0.21687690913677216
document,blogpost,0.5,0.2168535441160202
document,birth,0.0,0.21684877574443817
document,movement,0.6833333333333332,0.21619847416877747
document,difficulty,0.6333333333333333,0.21614991128444672
document,faculty,0.6011904761904762,0.21556980907917023
document,spouse,0.625,0.21511448919773102
document,duration,0.5833333333333334,0.21502827107906342
document,donor,0.5499999999999999,0.2148415595293045
document,exhibit,0.4226190476190476,0.21395035088062286
document,baptism,0.4226190476190476,0.21368741989135742
document,premise,0.3452380952380952,0.2135729193687439
document,gender,0.5277777777777778,0.2131107896566391
document,style,0.44166666666666665,0.21307486295700073
document,possession,0.5583333333333333,0.21287766098976135
document,theme,0.3833333333333333,0.21243634819984436
document,member,0.5277777777777778,0.21233032643795013
document,news,0.0,0.212284117937088
document,world,0.44166666666666665,0.2120944857597351
document,researcher,0.31666666666666665,0.21048013865947723
document,performance,0.537878787878788,0.20920084416866302
document,branch,0.3611111111111111,0.2090560346841812
document,recollection,0.5472222222222222,0.2083895355463028
document,pension,0.4226190476190476,0.20838163793087006
document,trade,0.5499999999999999,0.20826870203018188
document,seller,0.4305555555555555,0.20775975286960602
document,poem,0.5972222222222222,0.20753341913223267
document,area,0.4583333333333333,0.20716311037540436
document,rest,0.0,0.20715032517910004
document,donation,0.5833333333333334,0.20705367624759674
document,owner,0.5499999999999999,0.2065826654434204
document,integer,0.4226190476190476,0.20606689155101776
document,worker,0.5277777777777778,0.20588360726833344
document,character,0.4583333333333333,0.2053481638431549
document,courthouse,0.5750000000000001,0.205081969499588
document,vote,0.5833333333333334,0.20413319766521454
document,doctor,0.625,0.20349590480327606
document,life,0.4583333333333333,0.20341140031814575
document,success,0.4900793650793651,0.2027377337217331
document,courtroom,0.5648148148148148,0.20269477367401123
document,war,0.0,0.20196381211280823
document,gospel,0.5277777777777778,0.2006770819425583
document,money,0.5499999999999999,0.2002294361591339
document,greeting,0.47222222222222215,0.20020154118537903
document,obituary,0.5,0.19967710971832275
document,treatment,0.48148148148148145,0.1996164619922638
document,film,0.4583333333333333,0.19955773651599884
document,influence,0.5694444444444444,0.199542835354805
document,grave,0.44166666666666665,0.1994384080171585
document,county,0.7527777777777779,0.19884099066257477
document,day,0.4861111111111111,0.19866320490837097
document,datetime,0.5833333333333334,0.198403000831604
document,datetime,0.5833333333333334,0.198403000831604
document,residence,0.49074074074074076,0.19832885265350342
document,century,0.5119047619047619,0.19821549952030182
document,vehicle,0.5119047619047619,0.19816012680530548
document,fund,0.4166666666666667,0.19801300764083862
document,probability,0.4772727272727273,0.19744999706745148
document,hospital,0.5,0.19733548164367676
document,shift,0.44166666666666665,0.19702304899692535
document,attendee,0.5,0.19678445160388947
document,duty,0.5833333333333334,0.19649414718151093
