Verb,Predicate,Jaro-Winkler_Score,Cosine_Sim_Score
use,use,1.0,1.0
use,purpose,0.4920634920634921,0.5795690417289734
use,ability,0.0,0.544788658618927
use,access,0.5,0.5352108478546143
use,reason,0.5,0.5343400239944458
use,option,0.0,0.5279871821403503
use,change,0.0,0.5227906107902527
use,help,0.5277777777777778,0.5164377093315125
use,tool,0.0,0.5161735415458679
use,idea,0.5277777777777778,0.5065971612930298
use,order,0.5111111111111111,0.4991344213485718
use,instance,0.4861111111111111,0.49748095870018005
use,think,0.0,0.4884776175022125
use,type,0.5277777777777778,0.4856588840484619
use,information,0.0,0.47620686888694763
use,user,0.9416666666666667,0.47615692019462585
use,mean,0.5277777777777778,0.47545185685157776
use,fact,0.0,0.4752255380153656
use,purchase,0.4861111111111111,0.47320500016212463
use,system,0.6666666666666666,0.47282153367996216
use,product,0.0,0.46695980429649353
use,individual,0.0,0.4594704806804657
use,support,0.48412698412698413,0.4580121338367462
use,place,0.0,0.4573765993118286
use,effect,0.5,0.45667529106140137
use,time,0.5277777777777778,0.45381778478622437
use,thing,0.0,0.4517899453639984
use,attempt,0.4920634920634921,0.44861698150634766
use,feel,0.5277777777777778,0.4463709890842438
use,build,0.5111111111111111,0.4439202845096588
use,set,0.0,0.443399041891098
use,equipment,0.46296296296296297,0.4433209002017975
use,right,0.0,0.44250380992889404
use,aid,0.0,0.4397661089897156
use,write,0.0,0.43674784898757935
use,content,0.4920634920634921,0.43633702397346497
use,cause,0.0,0.4357040226459503
use,cause,0.0,0.4357040226459503
use,power,0.5111111111111111,0.4356622099876404
use,public,0.5,0.43223321437835693
use,process,0.4920634920634921,0.43046191334724426
use,care,0.5277777777777778,0.4274216592311859
use,knowledge,0.48148148148148145,0.42667004466056824
use,practice,0.0,0.4261849820613861
use,focus,0.0,0.4250413179397583
use,whole,0.0,0.4233502745628357
use,manner,0.5,0.42329180240631104
use,water,0.5111111111111111,0.42290642857551575
use,permission,0.45555555555555555,0.4212338924407959
use,plan,0.0,0.41775068640708923
use,basis,0.5111111111111111,0.41467761993408203
use,website,0.48412698412698413,0.41456368565559387
use,website,0.48412698412698413,0.41456368565559387
use,text,0.5277777777777778,0.4118354320526123
use,treatment,0.48148148148148145,0.4115513861179352
use,risk,0.5277777777777778,0.4107440412044525
use,material,0.4861111111111111,0.4099419116973877
use,rest,0.5555555555555555,0.4089868664741516
use,context,0.4920634920634921,0.4084092378616333
use,point,0.0,0.4065227806568146
use,effort,0.5,0.40604737401008606
use,word,0.0,0.4058707356452942
use,money,0.5111111111111111,0.4045661985874176
use,light,0.0,0.39993345737457275
use,course,0.5,0.39961376786231995
use,feature,0.4920634920634921,0.3994620740413666
use,charge,0.0,0.39870205521583557
use,software,0.4861111111111111,0.3974936604499817
use,result,0.5,0.39737412333488464
use,address,0.4920634920634921,0.3969917595386505
use,number,0.6666666666666666,0.3963727056980133
use,part,0.0,0.3942711353302002
use,case,0.7222222222222222,0.39408770203590393
use,account,0.0,0.39378753304481506
use,attention,0.48148148148148145,0.3929993510246277
use,force,0.0,0.3920413553714752
use,request,0.4920634920634921,0.39143359661102295
use,protection,0.4777777777777778,0.3912501037120819
use,source,0.5,0.3911895453929901
use,research,0.47222222222222215,0.3910883367061615
use,person,0.5,0.39078402519226074
use,assistance,0.4777777777777778,0.3906562924385071
use,impact,0.0,0.3895123600959778
use,end,0.0,0.38837987184524536
use,version,0.48412698412698413,0.3881382644176483
use,service,0.6507936507936508,0.3841119110584259
use,desire,0.5,0.38346347212791443
use,environment,0.47474747474747475,0.3821059465408325
use,ground,0.0,0.38192349672317505
use,subject,0.6984126984126985,0.3819003701210022
use,language,0.0,0.38099488615989685
use,object,0.5,0.3806978166103363
use,task,0.5277777777777778,0.3799772560596466
use,chance,0.0,0.37882959842681885
use,interest,0.4861111111111111,0.37750813364982605
use,mail,0.0,0.37732988595962524
use,medium,0.5,0.3773253560066223
use,opportunity,0.0,0.37649762630462646
use,favor,0.0,0.37488484382629395
use,value,0.0,0.369133323431015
use,hardware,0.0,0.36795249581336975
use,quantity,0.4861111111111111,0.3675276041030884
use,document,0.6388888888888888,0.36731743812561035
use,resource,0.47222222222222215,0.3669712543487549
use,component,0.0,0.36679717898368835
use,color,0.0,0.3662632405757904
use,study,0.5111111111111111,0.3655525743961334
use,list,0.5277777777777778,0.3626879155635834
use,ingredient,0.4777777777777778,0.36257243156433105
use,respect,0.48412698412698413,0.3620254099369049
use,paper,0.5111111111111111,0.36102938652038574
use,box,0.0,0.3599640130996704
use,emergency,0.48148148148148145,0.3598954975605011
use,weapon,0.5,0.35955798625946045
use,shape,0.5111111111111111,0.3584343194961548
use,strength,0.6388888888888888,0.3567902147769928
use,majority,0.0,0.3561400771141052
use,target,0.5,0.35364627838134766
use,database,0.0,0.3533037304878235
use,style,0.5111111111111111,0.3526808023452759
use,influence,0.48148148148148145,0.3522644340991974
use,distribution,0.47222222222222215,0.3522522449493408
use,government,0.4777777777777778,0.3521336019039154
use,level,0.5111111111111111,0.351485937833786
use,introduction,0.0,0.35142651200294495
use,vehicle,0.4920634920634921,0.3514232039451599
use,food,0.0,0.3512319028377533
use,human,0.5111111111111111,0.3506009876728058
use,action,0.0,0.3499303460121155
use,line,0.5277777777777778,0.3494323790073395
use,authority,0.48148148148148145,0.34943073987960815
use,instruction,0.47474747474747475,0.34936732053756714
use,responsibility,0.4365079365079365,0.34867873787879944
use,input,0.0,0.348647803068161
use,script,0.5,0.348006933927536
use,provider,0.0,0.3478839695453644
use,conversion,0.4777777777777778,0.346309095621109
use,drink,0.0,0.34619924426078796
