Verb,Predicate,Jaro-Winkler_Score,Cosine_Sim_Score
compare,price,0.44761904761904764,0.5430905222892761
compare,value,0.44761904761904764,0.44623348116874695
compare,list,0.0,0.4397035539150238
compare,order,0.5619047619047619,0.4201498329639435
compare,purchase,0.6464285714285715,0.4031035304069519
compare,mean,0.5952380952380952,0.3984849154949188
compare,fact,0.46428571428571425,0.39651158452033997
compare,review,0.4365079365079365,0.38028308749198914
compare,use,0.0,0.3772747218608856
compare,information,0.5616883116883117,0.37012985348701477
compare,think,0.0,0.36581018567085266
compare,individual,0.4142857142857143,0.36499541997909546
compare,write,0.44761904761904764,0.35705727338790894
compare,instance,0.5119047619047619,0.3558014929294586
compare,store,0.6761904761904761,0.3533402979373932
compare,product,0.42857142857142855,0.35205426812171936
compare,point,0.44761904761904764,0.35176318883895874
compare,performance,0.6897546897546897,0.3511219322681427
compare,customer,0.7417857142857143,0.35055217146873474
compare,basis,0.0,0.3463049530982971
compare,reason,0.4365079365079365,0.34384047985076904
compare,view,0.0,0.34313371777534485
compare,market,0.5396825396825397,0.3425811231136322
compare,result,0.0,0.34019002318382263
compare,overview,0.6011904761904762,0.3352241516113281
compare,study,0.0,0.3317096531391144
compare,outcome,0.5238095238095238,0.32674741744995117
compare,figure,0.5396825396825397,0.3260391056537628
compare,read,0.46428571428571425,0.32568690180778503
compare,time,0.46428571428571425,0.32361555099487305
compare,context,0.6190476190476191,0.3231721818447113
compare,change,0.6428571428571429,0.3229338526725769
compare,consumer,0.7704761904761905,0.3225044906139374
compare,option,0.5396825396825397,0.3224504888057709
compare,account,0.5238095238095238,0.3222936689853668
compare,quantity,0.4226190476190476,0.3206080496311188
compare,thing,0.0,0.3204077482223511
compare,database,0.5119047619047619,0.31941938400268555
compare,detail,0.4365079365079365,0.31508854031562805
compare,impact,0.6428571428571429,0.3150084912776947
compare,help,0.46428571428571425,0.3132723271846771
compare,number,0.5317460317460317,0.3114505708217621
compare,line,0.0,0.3101652264595032
compare,care,0.46428571428571425,0.3099725544452667
compare,right,0.0,0.30854499340057373
compare,ability,0.0,0.30696991086006165
compare,interest,0.3452380952380952,0.3047653138637543
compare,money,0.3952380952380952,0.30322617292404175
compare,service,0.42857142857142855,0.3025543689727783
compare,source,0.6428571428571429,0.30218979716300964
compare,knowledge,0.5026455026455027,0.3014899790287018
compare,rest,0.0,0.30110639333724976
compare,fraction,0.3452380952380952,0.3002045750617981
compare,whole,0.5619047619047619,0.29952356219291687
compare,sale,0.0,0.2981124222278595
compare,objective,0.5026455026455027,0.29660388827323914
compare,probability,0.4783549783549783,0.29650411009788513
compare,conclusion,0.49523809523809526,0.2958335280418396
compare,shop,0.5952380952380952,0.29348379373550415
compare,rank,0.0,0.2929149568080902
compare,risk,0.0,0.29078325629234314
compare,research,0.4900793650793651,0.29042306542396545
compare,truth,0.0,0.28979796171188354
compare,category,0.6071428571428571,0.2887991666793823
compare,place,0.5619047619047619,0.2886487543582916
compare,user,0.46428571428571425,0.2868284583091736
compare,idea,0.46428571428571425,0.2866288423538208
compare,provider,0.5238095238095238,0.28579992055892944
compare,situation,0.41798941798941797,0.28331896662712097
compare,case,0.46428571428571425,0.28308141231536865
compare,debt,0.0,0.2826108932495117
compare,broker,0.5317460317460317,0.27869492769241333
compare,buyer,0.44761904761904764,0.2780522108078003
compare,population,0.46507936507936504,0.27803266048431396
compare,image,0.6761904761904761,0.2777577042579651
compare,factor,0.5396825396825397,0.2773610055446625
compare,target,0.4365079365079365,0.27659037709236145
compare,home,0.5952380952380952,0.27531203627586365
compare,memory,0.5317460317460317,0.2745683789253235
compare,subject,0.42857142857142855,0.273539274930954
compare,travel,0.5396825396825397,0.27353671193122864
compare,argument,0.5119047619047619,0.27314087748527527
compare,item,0.46428571428571425,0.27168187499046326
compare,treatment,0.4761904761904761,0.2712433338165283
compare,return,0.4365079365079365,0.2711786925792694
